"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (GBP)"
"27/07/2024","Service Fees","203-4807704-5377915","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"27/07/2024","Order Payment","205-4894170-5085127","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","-1.66","-10.24","6.66","19.75"
"27/07/2024","Refund","026-1084501-9881125","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"27/07/2024","Service Fees","204-3499133-8060349","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"27/07/2024","Order Payment","202-0926902-3315502","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"27/07/2024","Service Fees","206-4950060-2638705","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"26/07/2024","Service Fees","026-5453516-0884365","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"26/07/2024","Service Fees","026-7057669-1789167","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.95","0","-1.95"
"26/07/2024","Refund","205-8590644-9596367","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","1.66","4.16","-7.33","-29.83"
"26/07/2024","Service Fees","204-5056620-6797103","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"26/07/2024","Order Payment","026-5164048-2877114","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.61","6.67","25.38"
"26/07/2024","Refund","204-4924041-3473964","BUCKHEAD Boston Casual Men Sneakers (Gre...","-24.99","0","3.67","-5","-26.32"
"26/07/2024","Order Payment","206-9364494-1397911","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"26/07/2024","Order Payment","203-8557400-8605904","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"26/07/2024","Refund","203-3001208-2969945","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"26/07/2024","Refund","203-3001208-2969945","BUCKHEAD Unisex Casual Sneakers for Wome...","-24.99","0","3.67","-5","-26.32"
"26/07/2024","Order Payment","203-0489407-8480352","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-8.78","7.33","25.21"
"26/07/2024","Order Payment","206-8727802-3322765","BUCKHEAD Boston Casual Men Sneakers (Bla...","56.64","-1.65","-21.7","12.99","46.28"
"26/07/2024","Service Fees","206-1030752-3137922","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.95","0","-1.95"
"25/07/2024","Order Payment","204-8463800-5033912","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"25/07/2024","Order Payment","026-0410643-0353143","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"25/07/2024","Service Fees","202-6062324-7653108","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.95","0","-1.95"
"25/07/2024","Order Payment","202-6603348-7304334","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"25/07/2024","Order Payment","205-3916502-8475516","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"25/07/2024","Service Fees","206-6973174-2212317","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"25/07/2024","Refund","203-8237981-0732307","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"25/07/2024","Refund","205-4001640-6951569","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"25/07/2024","Other","206-5459108-0393908","FBA Inventory Reimbursement","0","0","0","17.47","17.47"
"25/07/2024","Refund","026-0134832-4334704","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","1.66","4.16","-7.33","-29.83"
"25/07/2024","Order Payment","026-1084501-9881125","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"25/07/2024","Service Fees","026-2712046-2333966","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"25/07/2024","Service Fees","026-2712046-2333966","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"25/07/2024","Service Fees","026-2712046-2333966","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"24/07/2024","Order Payment","205-3042437-2607531","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"24/07/2024","Order Payment","205-8590644-9596367","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-8.78","7.33","25.21"
"24/07/2024","Order Payment","203-5155064-7124321","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-0.93","-9.1","6.6","24.89"
"24/07/2024","Order Payment","203-0498388-5473953","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"24/07/2024","Refund","202-0622571-5061115","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","1.66","4.16","-7.33","-29.83"
"24/07/2024","Order Payment","206-9196727-5496317","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"24/07/2024","Refund","203-5976431-1127500","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"24/07/2024","Refund","202-1822353-9281907","BUCKHEAD Unisex Casual Sneakers for Wome...","-19.99","0","2.94","-4","-21.05"
"24/07/2024","Refund","203-7116383-1399512","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","1.66","4.16","-7.33","-29.83"
"24/07/2024","Service Fees","LUwTyt+Gfm","FBA Return Fee","0","0","-8.16","0","-8.16"
"24/07/2024","Order Payment","204-3350941-1095500","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"23/07/2024","Order Payment","204-8738011-2502752","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.86","8.17","25.63"
"23/07/2024","Order Payment","203-5802178-2819513","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"23/07/2024","Refund","204-2539327-9802761","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"23/07/2024","Order Payment","202-8205562-4564353","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"23/07/2024","Order Payment","205-2294060-6043547","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"23/07/2024","Refund","202-3470304-5211523","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","0","7.83","-9.99","-27.15"
"23/07/2024","Refund","202-0425645-6245120","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","0","3.67","-5","-26.32"
"23/07/2024","Refund","206-4079670-7901919","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"23/07/2024","Refund","202-2313416-6169915","BUCKHEAD Boston Casual Men Sneakers (Bla...","-14.16","0","2.08","-2.83","-14.91"
"23/07/2024","Service Fees","026-7349775-8872358","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.79","0","-1.79"
"23/07/2024","Other","---","Other","0","0","0","-19.1","-19.1"
"22/07/2024","Service Fees","203-2091284-6035510","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"22/07/2024","Order Payment","203-9784414-4937127","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"22/07/2024","Order Payment","026-0529835-0900368","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"22/07/2024","Order Payment","203-9537395-7200346","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"22/07/2024","Order Payment","204-2539327-9802761","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"22/07/2024","Service Fees","203-9979657-0871549","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"22/07/2024","Order Payment","202-5436426-2417122","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"22/07/2024","Service Fees","204-4251693-3143529","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"22/07/2024","Order Payment","203-3001208-2969945","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"22/07/2024","Order Payment","026-0134832-4334704","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-8.78","7.33","25.21"
"22/07/2024","Order Payment","204-9352511-7280333","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-12.92","8.16","23.56"
"22/07/2024","Service Fees","206-3429036-1250742","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.95","0","-1.95"
"22/07/2024","Order Payment","203-7081790-6177134","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"22/07/2024","Order Payment","205-5821341-6645925","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"22/07/2024","Order Payment","205-4642074-3610757","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"22/07/2024","Order Payment","203-3001208-2969945","BUCKHEAD Unisex Casual Sneakers for Wome...","24.99","0","-10.24","5","19.75"
"22/07/2024","Service Fees","206-9671373-6762706","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"22/07/2024","Order Payment","026-5510190-2825100","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"22/07/2024","Order Payment","205-4228604-9246766","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","0","17.47"
"22/07/2024","Refund","204-2254914-9577907","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"22/07/2024","Order Payment","203-4163210-4394700","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"22/07/2024","Refund","026-5453516-0884365","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"22/07/2024","Refund","206-5804880-6205924","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","0","3.67","-5","-26.32"
"22/07/2024","Order Payment","202-0622571-5061115","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-8.78","7.33","25.21"
"21/07/2024","Order Payment","203-7116383-1399512","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-9.1","7.33","24.89"
"21/07/2024","Order Payment","203-7174211-4254758","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"21/07/2024","Order Payment","205-9384138-1844307","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"21/07/2024","Service Fees","205-9813832-3404352","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"21/07/2024","Order Payment","204-5425172-1906724","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"21/07/2024","Order Payment","203-3626686-1015538","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-12.93","8.17","23.56"
"21/07/2024","Service Fees","---","FBA Long-Term Storage Fee","0","0","0","-35.9","-35.9"
"20/07/2024","Order Payment","026-8368710-3431538","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"20/07/2024","Order Payment","202-4143650-2573949","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"20/07/2024","Order Payment","203-5803448-5614719","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-14.4","9.99","20.58"
"20/07/2024","Order Payment","206-5804880-6205924","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"20/07/2024","Order Payment","205-3337008-7430762","BUCKHEAD Boston Casual Men Sneakers (Whi...","19.99","0","-9.32","4","14.67"
"20/07/2024","Refund","204-2352432-6221902","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"20/07/2024","Refund","206-4060465-8147560","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","0","3.67","-5","-26.32"
"20/07/2024","Refund","206-4950060-2638705","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","1.25","4.16","-6.92","-29.83"
"20/07/2024","Order Payment","206-5116042-7305936","BUCKHEAD Unisex Casual Sneakers for Wome...","49.98","0","-20.48","10","39.5"
"20/07/2024","Order Payment","026-8068972-7053140","BUCKHEAD Boston Casual Men Sneakers (Bla...","56.64","-1.65","-21.7","12.99","46.28"
"20/07/2024","Order Payment","026-5453516-0884365","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"20/07/2024","Service Fees","026-4368688-6745112","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"20/07/2024","Service Fees","202-9050886-2485917","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"19/07/2024","Order Payment","203-7678559-6101934","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.66","-10.85","7.33","23.14"
"19/07/2024","Order Payment","206-4704104-7855563","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"19/07/2024","Order Payment","204-5691902-2250750","BUCKHEAD Unisex Casual Sneakers for Wome...","24.99","0","-10.24","5","19.75"
"19/07/2024","Order Payment","206-8363526-3879508","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"19/07/2024","Order Payment","204-8207468-8571532","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"19/07/2024","Service Fees","026-3707038-0479500","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"19/07/2024","Order Payment","206-0679007-7331567","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-13.26","10.66","25.72"
"19/07/2024","Order Payment","206-3518151-9440355","BUCKHEAD Boston Casual Men Sneakers (Whi...","19.99","0","-9.32","4","14.67"
"19/07/2024","Order Payment","204-8329849-6186749","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"19/07/2024","Order Payment","202-1822353-9281907","BUCKHEAD Unisex Casual Sneakers for Wome...","19.99","0","-9.32","4","14.67"
"19/07/2024","Refund","203-4807704-5377915","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"19/07/2024","Refund","205-3593765-9154708","BUCKHEAD Boston Casual Men Sneakers (Bla...","-22.66","0","3.33","-4.53","-23.86"
"19/07/2024","Refund","206-1081821-2944307","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"19/07/2024","Order Payment","206-4453011-9763566","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"18/07/2024","Order Payment","203-8237981-0732307","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","206-4079670-7901919","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-8.06","4.53","19.13"
"18/07/2024","Order Payment","203-1121879-0450726","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","203-4807704-5377915","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Service Fees","---","Cost of Advertising","0","0","-610.34","0","-610.34"
"18/07/2024","Order Payment","202-0425645-6245120","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-8.49","5","21.5"
"18/07/2024","Order Payment","205-8766909-3011526","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"18/07/2024","Order Payment","206-1780240-4990751","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"18/07/2024","Refund","206-1030752-3137922","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","0","3.67","-5","-26.32"
"18/07/2024","Order Payment","205-3593765-9154708","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","026-3202666-9007513","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"18/07/2024","Order Payment","202-8537643-7173161","BUCKHEAD Boston Casual Men Sneakers (Gre...","24.99","0","-10.24","5","19.75"
"18/07/2024","Order Payment","205-4001640-6951569","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","202-3470304-5211523","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-14.4","9.99","20.58"
"18/07/2024","Order Payment","205-7134460-3991547","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-8.06","4.53","19.13"
"18/07/2024","Order Payment","205-1650936-6590705","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","026-5596592-2159548","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Order Payment","206-9994677-4227561","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-8.06","4.53","19.13"
"18/07/2024","Order Payment","203-8214513-0245938","BUCKHEAD Boston Casual Men Sneakers (Whi...","42.65","0","-19.13","8.53","32.05"
"18/07/2024","Order Payment","205-1320750-0647543","BUCKHEAD Boston Casual Men Sneakers (Whi...","19.99","0","-9.32","4","14.67"
"18/07/2024","Service Fees","204-7434736-5243543","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"18/07/2024","Refund","204-3499133-8060349","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"18/07/2024","Order Payment","026-1128290-5847548","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"18/07/2024","Refund","206-6973174-2212317","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0","4.16","-5.67","-29.83"
"18/07/2024","Order Payment","202-1520013-4252300","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"18/07/2024","Order Payment","204-2352432-6221902","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-7.74","4.53","19.45"
"17/07/2024","Order Payment","206-0156236-4799508","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-8.06","4.53","19.13"
"17/07/2024","Order Payment","202-8907103-0952331","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"17/07/2024","Order Payment","205-1672009-5597930","BUCKHEAD White Unisex Casual Sneakers fo...","19.99","0","-7.25","4","16.74"
"17/07/2024","Order Payment","205-7755200-8341108","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","-0.56","-7.74","5.09","19.45"
"17/07/2024","Order Payment","205-7331520-5549113","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"17/07/2024","Order Payment","206-8368505-6189915","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"17/07/2024","Order Payment","203-4024619-4760314","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"17/07/2024","Order Payment","204-0249950-4221108","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
"17/07/2024","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","1279.51","1279.51"
"17/07/2024","Unavailable balance","---","Current Reserve Amount ","0","0","0","-1279.51","-1279.51"
"17/07/2024","Order Payment","203-0302043-8570708","BUCKHEAD Boston Casual Men Sneakers (Bla...","22.66","0","-9.81","4.53","17.38"
